,service_date,day_type,bus,rail_boardings,total_rides
0,02/01/2010,W,1091041,648428,1739469
1,07/15/2006,A,603018,412144,1015162
2,08/26/2017,A,487453,446049,933502
3,12/25/2007,U,249699,111582,361281
4,07/08/2005,W,950222,591325,1541547
5,01/05/2006,W,766560,550285,1316845
6,11/14/2023,W,581009,424128,1005137
7,11/28/2017,W,847910,753208,1601118
8,05/05/2004,W,1019276,622837,1642113
9,06/16/2014,W,796802,729177,1525979
10,04/01/2017,A,517493,433603,951096
11,07/10/2013,W,961940,756010,1717950
12,01/19/2008,A,414819,231306,646125
13,08/07/2022,U,202042,193344,395386
14,02/19/2003,W,982943,605097,1588040
15,07/23/2017,U,380247,372309,752556
16,02/05/2013,W,1021386,733180,1754566
17,05/29/2002,W,980049,601576,1581625
18,04/17/2019,W,710771,699083,1409854
19,07/09/2014,W,855793,763164,1618957
20,09/20/2011,W,1094671,787667,1882338
21,01/07/2010,W,901941,616491,1518432
22,10/19/2017,W,876423,848003,1724426
23,12/28/2024,A,348599,222891,571490
24,01/06/2006,W,788239,551707,1339946
25,01/05/2005,W,851226,558698,1409924
26,05/31/2023,W,517111,389469,906580
27,10/15/2021,W,456194,338278,794472
28,06/06/2021,U,204309,148509,352818
29,05/10/2002,W,1047188,609528,1656716
30,07/24/2005,U,393689,255844,649533
31,05/03/2009,U,528055,291070,819125
32,04/23/2005,A,541013,297122,838135
33,09/25/2014,W,963447,824454,1787901
34,03/07/2006,W,1006095,626557,1632652
35,04/12/2023,W,516841,388965,905806
36,04/08/2014,W,913012,773383,1686395
37,11/02/2006,W,1012046,671054,1683100
38,03/08/2008,A,590236,294749,884985
39,09/26/2003,W,939175,643987,1583162
40,03/10/2017,W,816750,730837,1547587
41,12/17/2022,A,273704,221530,495234
42,03/18/2015,W,937056,771625,1708681
43,01/28/2004,W,887763,565269,1453032
44,08/26/2019,W,693566,678343,1371909
45,03/12/2016,A,542246,605182,1147428
46,03/17/2010,W,1043518,689789,1733307
47,04/24/2011,U,415484,274724,690208
48,12/02/2003,W,984587,605675,1590262
